SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,2039,2039,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,2040,2040,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NO FALLBACK,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,5792,5792,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,NUMBER,CREATE TABLE,SQL,481,481,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Table Statements,PARTITION BY,CREATE TABLE,SQL,36,66,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,PERIOD,CREATE FUNCTION,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY INDEX,CREATE JOIN INDEX,SQL,1,0,1,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,1983,0,2387,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,PRIMARY KEY,CREATE TABLE,SQL,59,59,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Function,PRIOR,CREATE FUNCTION,SQL,1,0,2,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,SELECT,CREATE MACRO,SQL,1,3,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,3,25,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Manipulation Language Statement,SELECT,SELECT,SQL,64,84,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE JOIN INDEX,SQL,1,1,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Procedure Statements,SET,CREATE / REPLACE PROCEDURE,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,SMALLINT,CREATE TABLE,SQL,37,37,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlGeneratedAsIdentity,CREATE TABLE,SQL,457,2742,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlIfStatement,CREATE / REPLACE PROCEDURE,SQL,1,5,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Uncategorized,SqlSingleNameExpr,Not specified,SQL,3,0,3,3,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIME WITH TIME ZONE,CREATE TABLE,SQL,27,27,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIME WITH TIME ZONE,CREATE FUNCTION,SQL,2,2,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIMESTAMP WITH TIME ZONE,CREATE TABLE,SQL,3276,3276,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,TIMESTAMP WITH TIME ZONE,SELECT,SQL,4,4,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,TITLE,CREATE TABLE,SQL,397,397,0,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Definition Statements,UNIQUE INDEX,CREATE TABLE,SQL,3,0,6,0,0
098b900f-8965-427d-87ba-ccd671309180,Data Type,VARBYTE,CREATE TABLE,SQL,6,6,0,0,0
098b900f-8965-427d-87ba-ccd671309180,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
