SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
d820f1e1-7f00-49a0-979d-93163d483f02,Data Manipulation Language Statements,LOCK TABLE,CREATE / REPLACE VIEW,SQL,2,3,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Aggregate Functions,MAX,CREATE / REPLACE VIEW,SQL,2,10,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,1,1,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,NO FALLBACK,CREATE JOIN INDEX,SQL,1,1,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,3,3,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Type,PERIOD,CREATE FUNCTION,SQL,2,2,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,PRIMARY INDEX,CREATE JOIN INDEX,SQL,1,0,1,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,2,0,2,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Function,PRIOR,CREATE FUNCTION,SQL,1,0,2,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Manipulation Language Statement,SELECT,CREATE MACRO,SQL,1,3,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE JOIN INDEX,SQL,1,1,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,2,24,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Procedure Statements,SET,CREATE / REPLACE PROCEDURE,SQL,2,2,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Uncategorized,SqlIfStatement,CREATE / REPLACE PROCEDURE,SQL,1,5,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,Uncategorized,SqlSingleNameExpr,Not specified,SQL,3,0,3,3,0
d820f1e1-7f00-49a0-979d-93163d483f02,Data Type,TIME WITH TIME ZONE,CREATE FUNCTION,SQL,2,2,0,0,0
d820f1e1-7f00-49a0-979d-93163d483f02,"SELECT statement syntax, options, clauses, modifiers",WHERE,CREATE / REPLACE VIEW,SQL,1,1,0,0,0
